"MacKenzie, T",1912-03-28,1912-07-10,1,1
"Myers, A",1912-03-28,1912-07-10,1,0
"MacDonald, W",1912-03-28,1912-07-10,0,0
"Hanan, J",1912-03-28,1912-07-10,1,0
"Laurenson, G",1912-03-28,1912-07-10,0,0
"Russell, G",1912-03-28,1912-07-10,1,0
"Colvin, J",1912-03-28,1912-07-10,0,0
"Ell, H",1912-03-28,1912-07-10,0,0
"Rangihiora, Te",1912-03-28,1912-07-10,0,0
"Buxton, T",1912-03-28,1912-07-10,0,0
"Massey, W",1912-07-10,1915-08-12,1,1
"Allen, J",1912-07-10,1915-08-12,1,0
"Herries, W",1912-07-10,1915-08-12,0,0
"Fraser, W",1912-07-10,1915-08-12,0,0
"Herdman, A",1912-07-10,1915-08-12,1,0
"Fisher, F",1912-07-10,1915-08-12,0,0
"Bell, F",1912-07-10,1915-08-12,0,0
"Rhodes, R",1912-07-10,1915-08-12,1,0
"Pomare, M",1912-07-10,1915-08-12,0,0
"Massey, W",1915-08-12,1919-08-25,1,1
"Ward, J",1915-08-12,1919-08-25,1,0
"Allen, J",1915-08-12,1919-08-25,1,0
"Herries, W",1915-08-12,1919-08-25,0,0
"Herdman, A",1915-08-12,1919-08-25,0,0
"McNab, R",1915-08-12,1919-08-25,1,0
"Fraser, W",1915-08-12,1919-08-25,0,0
"Russell, G",1915-08-12,1919-08-25,1,0
"Myers, A",1915-08-12,1919-08-25,0,0
"Bell, F",1915-08-12,1919-08-25,0,0
"MacDonald, W",1915-08-12,1919-08-25,0,0
"Hanan, J",1915-08-12,1919-08-25,1,0
"Pomare, M",1915-08-12,1919-08-25,0,0
"Massey, W",1919-08-25,1925-05-10,1,1
"Allen, J",1919-08-25,1925-05-10,1,0
"Herries, W",1919-08-25,1925-05-10,0,0
"Fraser, W",1919-08-25,1925-05-10,0,0
"Bell, F",1919-08-25,1925-05-10,1,0
"Guthrie, D",1919-08-25,1925-05-10,0,0
"Hine, J",1919-08-25,1925-05-10,0,0
"Nosworthy, W",1919-08-25,1925-05-10,0,0
"Coates, J",1919-08-25,1925-05-10,1,0
"Pomare, M",1919-08-25,1925-05-10,1,0
"Coates, J",1925-05-30,1928-12-10,1,1
"Bell, F",1925-05-30,1928-12-10,0,0
"Guthrie, D",1925-05-30,1928-12-10,0,0
"Stewart, W",1925-05-30,1928-12-10,0,0
"Nosworthy, W",1925-05-30,1928-12-10,1,0
"Parr, C",1925-05-30,1928-12-10,0,0
"Anderson, G",1925-05-30,1928-12-10,0,0
"McLeod, A",1925-05-30,1928-12-10,0,0
"Rhodes, R",1925-05-30,1928-12-10,1,0
"Pomare, M",1925-05-30,1928-12-10,0,0
"Bollard, R",1925-05-30,1928-12-10,0,0
"Ward, J",1928-12-10,1930-05-28,1,1
"Forbes, G",1928-12-10,1930-05-28,0,0
"Wilford, T",1928-12-10,1930-05-28,1,0
"Ngata, A",1928-12-10,1930-05-28,0,0
"Atmore, H",1928-12-10,1930-05-28,0,0
"Veitch, W",1928-12-10,1930-05-28,0,0
"Ransom, E",1928-12-10,1930-05-28,0,0
"Taverner, W",1928-12-10,1930-05-28,0,0
"Donald, J",1928-12-10,1930-05-28,0,0
"Perrelle, P",1928-12-10,1930-05-28,0,0
"Cobbe, J.",1928-12-10,1930-05-28,1,0
"Stallworthy, A",1928-12-10,1930-05-28,1,0
"Sidey, T",1928-12-10,1930-05-28,1,0
"Forbes, G",1930-05-28,1931-09-22,1,1
"Ransom, E",1930-05-28,1931-09-22,0,0
"Ngata, A",1930-05-28,1931-09-22,0,0
"Atmore, H",1930-05-28,1931-09-22,0,0
"Veitch, W",1930-05-28,1931-09-22,0,0
"Sidey, T",1930-05-28,1931-09-22,0,0
"Taverner, W",1930-05-28,1931-09-22,0,0
"Perrelle, P",1930-05-28,1931-09-22,0,0
"Cobbe, J",1930-05-28,1931-09-22,1,0
"Donald, J",1930-05-28,1931-09-22,0,0
"Stallworthy, A",1930-05-28,1931-09-22,0,0
"Smith, S",1930-05-28,1931-09-22,0,0
"Murdoch, A",1930-05-28,1931-09-22,0,0
"Forbes, G",1931-09-22,1935-12-06,1,1
"Coates, J",1931-09-22,1935-12-06,1,0
"Ransom, E",1931-09-22,1935-12-06,0,0
"Stewart, W",1931-09-22,1935-12-06,1,0
"Ngata, A",1931-09-22,1935-12-06,0,0
"Young, J",1931-09-22,1935-12-06,1,0
"Masters, R",1931-09-22,1935-12-06,0,0
"Jones, D",1931-09-22,1935-12-06,0,0
"Cobbe, J",1931-09-22,1935-12-06,1,0
"Hamilton, A",1931-09-22,1935-12-06,0,0
"Savage, M",1935-12-06,1940-04-01,1,1
"Fraser, P",1935-12-06,1940-04-01,1,0
"Nash, W",1935-12-06,1940-04-01,1,0
"Sullivan, D",1935-12-06,1940-04-01,0,0
"Mason, H",1935-12-06,1940-04-01,1,0
"Armstrong, H",1935-12-06,1940-04-01,0,0
"Semple, R",1935-12-06,1940-04-01,0,0
"Parry, W",1935-12-06,1940-04-01,0,0
"Webb, P",1935-12-06,1940-04-01,0,0
"Jones, F",1935-12-06,1940-04-01,1,0
"Martin, W",1935-12-06,1940-04-01,0,0
"Langstone, F",1935-12-06,1940-04-01,0,0
"Fagan, M",1935-12-06,1940-04-01,0,0
"Fraser, P",1940-04-01,1943-10-29,1,1
"Nash, W",1940-04-01,1943-10-29,1,0
"Sullivan, D",1940-04-01,1943-10-29,0,0
"Mason, H",1940-04-01,1943-10-29,1,0
"Armstrong, H",1940-04-01,1943-10-29,1,0
"Semple, R",1940-04-01,1943-10-29,0,0
"Perry, W",1940-04-01,1943-10-29,0,0
"Webb, P",1940-04-01,1943-10-29,0,0
"Jones, F",1940-04-01,1943-10-29,1,0
"Martin, W",1940-04-01,1943-10-29,0,0
"Langstone, F",1940-04-01,1943-10-29,1,0
"Wilson, D",1940-04-01,1943-10-29,0,0
"McMillen, D",1940-04-01,1943-10-29,0,0
"Fraser, P",1943-10-29,1946-12-19,1,1
"Nash, W",1943-10-29,1946-12-19,1,0
"Sullivan, D",1943-10-29,1946-12-19,0,0
"Mason, H",1943-10-29,1946-12-19,1,0
"Semple, R",1943-10-29,1946-12-19,0,0
"Perry, W",1943-10-29,1946-12-19,0,0
"Webb, P",1943-10-29,1946-12-19,0,0
"Jones, F",1943-10-29,1946-12-19,1,0
"Wilson, D",1943-10-29,1946-12-19,0,0
"Nordmeyer, A",1943-10-29,1946-12-19,1,0
"McLagan, A",1943-10-29,1946-12-19,0,0
"Obrien, J",1943-10-29,1946-12-19,0,0
"Skinner, C",1943-10-29,1946-12-19,0,0
"Roberts, B",1943-10-29,1946-12-19,0,0
"Tirikatene, E",1943-10-29,1946-12-19,0,0
"Fraser, P",1946-12-19,1949-12-13,1,1
"Nash, W",1946-12-19,1949-12-13,1,0
"Sullivan, D",1946-12-19,1949-12-13,0,0
"Mason, H",1946-12-19,1949-12-13,1,0
"Semple, R",1946-12-19,1949-12-13,0,0
"Perry, W",1946-12-19,1949-12-13,0,0
"Jones, F",1946-12-19,1949-12-13,1,0
"Nordmeyer, A",1946-12-19,1949-12-13,0,0
"Obrien, J",1946-12-19,1949-12-13,0,0
"Skinner, C",1946-12-19,1949-12-13,0,0
"McLagan, A",1946-12-19,1949-12-13,0,0
"Cullen, E",1946-12-19,1949-12-13,0,0
"Hackett, F",1946-12-19,1949-12-13,0,0
"Tirikatene, E",1946-12-19,1949-12-13,0,0
"Holland, S",1949-12-13,1954-11-26,1,1
"Holyoake, K",1949-12-13,1954-11-26,0,0
"Sullivan, W",1949-12-13,1954-11-26,0,0
"Webb, T",1949-12-13,1954-11-26,1,0
"Algie, R",1949-12-13,1954-11-26,0,0
"Bodkin, W",1949-12-13,1954-11-26,0,0
"Bowden, C",1949-12-13,1954-11-26,0,0
"Broadfoot, W",1949-12-13,1954-11-26,0,0
"Corbett, E",1949-12-13,1954-11-26,0,0
"Doidge, F",1949-12-13,1954-11-26,1,0
"Goosman, W",1949-12-13,1954-11-26,0,0
"MacDonald, T",1949-12-13,1954-11-26,1,0
"Watts, J",1949-12-13,1954-11-26,1,0
"Ross, G",1949-12-13,1954-11-26,0,0
"Marshall, J",1949-12-13,1954-11-26,1,0
"Fortune, W",1949-12-13,1954-11-26,0,0
"Polson, W",1949-12-13,1954-11-26,0,0
"Holland, S",1954-11-26,1957-09-20,1,1
"Holyoake, K",1954-11-26,1957-09-20,0,0
"Sullivan, W",1954-11-26,1957-09-20,0,0
"Corbett, E",1954-11-26,1957-09-20,0,0
"Goosman, W",1954-11-26,1957-09-20,0,0
"MacDonald, T",1954-11-26,1957-09-20,1,0
"Watts, J",1954-11-26,1957-09-20,1,0
"Marshall, J",1954-11-26,1957-09-20,1,0
"Ross, G",1954-11-26,1957-09-20,0,0
"Smith, S",1954-11-26,1957-09-20,0,0
"Eyre, D",1954-11-26,1957-09-20,0,0
"Halstead, E",1954-11-26,1957-09-20,0,0
"Hanan, J",1954-11-26,1957-09-20,1,0
"McAlpine, J",1954-11-26,1957-09-20,0,0
"Shand, T",1954-11-26,1957-09-20,0,0
"Holyoake, K",1957-09-20,1957-12-12,1,1
"Marshall, J",1957-09-20,1957-12-12,1,0
"Watts, J",1957-09-20,1957-12-12,1,0
"Holland, S",1957-09-20,1957-12-12,0,0
"Algie, R",1957-09-20,1957-12-12,0,0
"Goosman, W",1957-09-20,1957-12-12,0,0
"MacDonald, T",1957-09-20,1957-12-12,0,0
"Ross, H",1957-09-20,1957-12-12,0,0
"Smith, S",1957-09-20,1957-12-12,0,0
"Eyre, D",1957-09-20,1957-12-12,1,0
"Halstead, E",1957-09-20,1957-12-12,0,0
"Hanan, J",1957-09-20,1957-12-12,0,0
"McAlpine, J",1957-09-20,1957-12-12,0,0
"Shand, T",1957-09-20,1957-12-12,0,0
"Gerard, R",1957-09-20,1957-12-12,0,0
"Rae, J",1957-09-20,1957-12-12,0,0
"Nash, W",1957-12-12,1960-12-12,1,1
"Skinner, C",1957-12-12,1960-12-12,0,0
"Nordmeyer, A",1957-12-12,1960-12-12,1,0
"Mason, H",1957-12-12,1960-12-12,1,0
"Hackett, F",1957-12-12,1960-12-12,0,0
"Fox, W",1957-12-12,1960-12-12,0,0
"Watt, H",1957-12-12,1960-12-12,0,0
"Tirikatene, E",1957-12-12,1960-12-12,0,0
"Connolly, P",1957-12-12,1960-12-12,1,0
"Moohan, M",1957-12-12,1960-12-12,0,0
"Holloway, P",1957-12-12,1960-12-12,0,0
"Skoglund, P",1957-12-12,1960-12-12,0,0
"Howard, M",1957-12-12,1960-12-12,0,0
"Mathison, J",1957-12-12,1960-12-12,0,0
"Boord, R",1957-12-12,1960-12-12,0,0
"Anderton, W",1957-12-12,1960-12-12,0,0
"Holyoake, K",1960-12-12,1963-12-20,1,1
"Marshall, J",1960-12-12,1963-12-20,0,0
"Hanan, J",1960-12-12,1963-12-20,1,0
"McAlpine, J",1960-12-12,1963-12-20,0,0
"Shand, T",1960-12-12,1963-12-20,0,0
"Goosman, W",1960-12-12,1963-12-20,0,0
"Lake, H",1960-12-12,1963-12-20,1,0
"Eyre, D",1960-12-12,1963-12-20,1,0
"Gallespie, W",1960-12-12,1963-12-20,0,0
"Gerard, R",1960-12-12,1963-12-20,0,0
"Gotz, F",1960-12-12,1963-12-20,0,0
"Rae, J",1960-12-12,1963-12-20,0,0
"Tennent, W",1960-12-12,1963-12-20,0,0
"Hayman, T",1960-12-12,1963-12-20,0,0
"Shelton, N",1960-12-12,1963-12-20,1,0
"Kinsella, A",1960-12-12,1963-12-20,0,0
"Holyoake, K",1963-12-20,1966-12-12,1,1
"Marshall, J",1963-12-20,1966-12-12,0,0
"Hanan, J",1963-12-20,1966-12-12,1,0
"McAlpine, J",1963-12-20,1966-12-12,0,0
"Shand, T",1963-12-20,1966-12-12,0,0
"Lake, H",1963-12-20,1966-12-12,1,0
"Eyre, D",1963-12-20,1966-12-12,1,0
"Shelton, N",1963-12-20,1966-12-12,0,0
"Gerard, R",1963-12-20,1966-12-12,0,0
"Talboys, B",1963-12-20,1966-12-12,0,0
"Rae, J",1963-12-20,1966-12-12,0,0
"Kinsella, A",1963-12-20,1966-12-12,0,0
"McKay, D",1963-12-20,1966-12-12,1,0
"Seath, D",1963-12-20,1966-12-12,0,0
"Allen, P",1963-12-20,1966-12-12,0,0
"Scott, W",1963-12-20,1966-12-12,0,0
"Holyoake, K",1966-12-12,1969-12-22,1,1
"Marshall, J",1966-12-12,1969-12-22,0,0
"Hanan, J",1966-12-12,1969-12-22,1,0
"Shand, T",1966-12-12,1969-12-22,0,0
"Lake, H",1966-12-12,1969-12-22,1,0
"Shelton, N",1966-12-12,1969-12-22,0,0
"Talboys, B",1966-12-12,1969-12-22,0,0
"Rae, J",1966-12-12,1969-12-22,0,0
"Kinsella, A",1966-12-12,1969-12-22,0,0
"McKay, D",1966-12-12,1969-12-22,0,0
"Seath, D",1966-12-12,1969-12-22,0,0
"Allen, P",1966-12-12,1969-12-22,0,0
"Scott, W",1966-12-12,1969-12-22,0,0
"Gordon, J",1966-12-12,1969-12-22,0,0
"MacIntyre, D",1966-12-12,1969-12-22,0,0
"Thomson, D",1966-12-12,1969-12-22,1,0
"Holyoake, K",1969-12-22,1972-02-09,1,1
"Marshall, J",1969-12-22,1972-02-09,0,0
"Shelton, N",1969-12-22,1972-02-09,0,0
"Talboys, B",1969-12-22,1972-02-09,0,0
"Muldoon, R",1969-12-22,1972-02-09,1,0
"Rae, J",1969-12-22,1972-02-09,0,0
"McKay, D",1969-12-22,1972-02-09,0,0
"Seath, D",1969-12-22,1972-02-09,0,0
"Allen, P",1969-12-22,1972-02-09,0,0
"Carter, D",1969-12-22,1972-02-09,0,0
"Gordon, J",1969-12-22,1972-02-09,0,0
"MacIntyre, D",1969-12-22,1972-02-09,0,0
"Thomson, D",1969-12-22,1972-02-09,1,0
"Adams-Schneider, L",1969-12-22,1972-02-09,0,0
"McCready, A",1969-12-22,1972-02-09,0,0
"Riddiford, D",1969-12-22,1972-02-09,1,0
"Walker, H",1969-12-22,1972-02-09,0,0
"Pickering, H",1969-12-22,1972-02-09,0,0
"Marshall, J",1972-02-09,1972-12-08,1,1
"Muldoon, R",1972-02-09,1972-12-08,0,0
"Talboys, B",1972-02-09,1972-12-08,0,0
"Gordon, J",1972-02-09,1972-12-08,0,0
"MacIntyre, D",1972-02-09,1972-12-08,0,0
"Thomson, D",1972-02-09,1972-12-08,1,0
"Adams-Schneider, L",1972-02-09,1972-12-08,1,0
"Allen, P",1972-02-09,1972-12-08,0,0
"Carter, D",1972-02-09,1972-12-08,0,0
"Holyoake, K",1972-02-09,1972-12-08,0,0
"Jack, R",1972-02-09,1972-12-08,1,0
"McCready, A",1972-02-09,1972-12-08,0,0
"Pickering, H",1972-02-09,1972-12-08,0,0
"Walker, H",1972-02-09,1972-12-08,0,0
"Gair, G",1972-02-09,1972-12-08,0,0
"Gandar, L",1972-02-09,1972-12-08,0,0
"Holland, E",1972-02-09,1972-12-08,0,0
"Kirk, N",1972-12-08,1974-09-10,1,1
"Watt, H",1972-12-08,1974-09-10,0,0
"Freer, W",1972-12-08,1974-09-10,0,0
"Rowling, W",1972-12-08,1974-09-10,1,0
"Finlay, A",1972-12-08,1974-09-10,1,0
"Rata, M",1972-12-08,1974-09-10,0,0
"Connolly, M",1972-12-08,1974-09-10,0,0
"Faulkner, A",1972-12-08,1974-09-10,0,0
"King, N",1972-12-08,1974-09-10,0,0
"Tizard, R",1972-12-08,1974-09-10,1,0
"Moyle, C",1972-12-08,1974-09-10,0,0
"Fraser, W",1972-12-08,1974-09-10,0,0
"May, H",1972-12-08,1974-09-10,0,0
"Arthur, B",1972-12-08,1974-09-10,0,0
"Amos, P",1972-12-08,1974-09-10,0,0
